Country/Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,926,962,904,951,882,873,827,760,853,803,883,727,818,666,731,731,717,707,686,683,741
Bulgaria,257,247,270,287,270,273,284,273,282,284,303,323,308,300,306,316,328,317,310,344,349
Czechia,628,686,659,680,670,653,663,623,627,637,710,654,691,623,642,671,680,663,652,668,749
Denmark,790,834,811,829,825,833,830,827,819,817,902,807,799,735,782,801,781,769,755,735,772
Germany (until 1990 former territory of the FRG),795,848,815,809,785,772,785,677,763,726,781,698,775,662,673,692,687,673,695,697,706
Estonia,663,682,664,674,677,656,654,717,712,727,771,705,708,676,652,707,714,712,717,711,725
Ireland,713,747,733,758,772,794,777,744,797,767,797,697,640,574,605,619,594,625,602,642,608
Greece,422,440,457,511,500,507,506,491,476,440,420,498,348,353,412,403,409,364,382,400,402
Spain,297,310,314,331,343,348,352,346,338,344,364,334,319,318,329,308,309,324,306,307,311
France,668,694,662,682,704,683,668,633,688,682,701,609,698,570,600,627,614,592,588,571,623
Croatia,512,574,576,627,626,653,615,586,600,614,644,617,585,525,577,577,579,562,550,563,617
Italy,485,507,504,551,545,585,558,553,571,576,597,545,568,486,535,531,543,528,521,516,542
Cyprus,253,249,272,291,277,429,437,443,427,441,405,417,354,343,382,392,398,385,408,408,394
Latvia,560,617,619,655,651,672,667,662,667,717,662,644,630,621,559,584,616,639,621,587,638
Lithuania,390,408,418,429,438,453,480,465,485,496,514,506,496,478,468,500,515,540,518,513,582
Luxembourg,1072,1141,1084,1110,1164,1130,1092,1046,1047,1041,1011,921,917,841,894,902,898,823,747,790,750
Hungary,549,590,592,652,603,691,667,608,599,630,665,659,628,556,607,627,643,595,581,613,661
Malta,196,191,204,223,221,179,180,174,173,156,167,165,174,170,179,170,195,198,207,208,229
Netherlands,680,711,689,703,678,658,663,609,670,667,751,616,679,541,561,575,558,553,537,521,577
Austria,792,832,796,808,787,800,788,756,768,777,844,781,815,730,767,792,791,739,753,781,856
Poland,450,492,489,492,493,510,537,508,516,524,578,529,539,501,501,524,528,594,553,557,587
Portugal,274,277,288,299,306,306,305,305,295,303,281,263,252,267,266,273,272,280,281,293,293
Romania,375,329,333,363,372,375,371,360,393,394,400,390,386,372,372,376,395,399,400,416,458
Slovenia,625,667,646,705,692,714,665,645,670,647,666,635,602,514,565,575,560,523,506,518,550
Slovakia,480,573,558,528,496,473,430,387,396,399,429,393,397,360,366,374,388,378,485,503,545
Finland,868,941,956,982,963,957,973,969,939,983,1084,945,951,939,904,972,1046,1032,1020,956,1076
Sweden,823,845,822,824,795,846,806,771,754,778,883,813,801,746,756,772,765,736,716,694,756
Iceland,1105,1099,1118,1102,1124,1129,1132,1155,1181,1178,1187,1162,1233,1175,1186,1262,1230,1433,1259,1316,1344
Norway,852,883,877,835,829,856,844,848,845,876,969,865,884,822,846,864,869,867,850,846,864
